NM,range,mean_max_03,tpr,tnr
0.5,1665,0.93279,0.13391,0.13391
0.5,1675,0.93279,0.13391,0.13391
0.5,1685,0.93279,0.13391,0.13391
0.5,1695,0.93279,0.13391,0.13391
0.5,1705,0.93279,0.13391,0.13391
0.5,1715,0.93279,0.13391,0.13391
0.5,1725,0.93279,0.13391,0.13391
0.5,1735,0.93279,0.13391,0.13391
0.5,1745,0.93279,0.13391,0.13391
0.5,1755,0.93279,0.13391,0.13391
0.5,1765,0.93279,0.13391,0.13391
0.5,1775,0.93279,0.13391,0.13391
0.5,1785,0.93279,0.13391,0.13391
0.5,1795,0.93279,0.13391,0.13391
0.5,1805,0.93279,0.13391,0.13391
0.5,1815,0.93279,0.13391,0.13391
0.5,1825,0.93279,0.13391,0.13391
0.5,1835,0.93279,0.13391,0.13391
0.5,1845,0.93279,0.13391,0.13391
1,1855,0.92076,0.14698,0.14698
1,1865,0.92076,0.14698,0.14698
1,1875,0.92076,0.14698,0.14698
1,1885,0.92076,0.14698,0.14698
1,1895,0.92076,0.14698,0.14698
1,1905,0.92076,0.14698,0.14698
1,1915,0.92076,0.14698,0.14698
1,1925,0.92076,0.14698,0.14698
1,1935,0.92076,0.14698,0.14698
1,1945,0.92076,0.14698,0.14698
1,1955,0.92076,0.14698,0.14698
1,1965,0.92076,0.14698,0.14698
1,1975,0.92076,0.14698,0.14698
1,1985,0.92076,0.14698,0.14698
1,1995,0.92076,0.14698,0.14698
1,2005,0.92076,0.14698,0.14698
1,2015,0.92076,0.14698,0.14698
1,2025,0.92076,0.14698,0.14698
1,2035,0.92076,0.14698,0.14698
1,2045,0.92076,0.14698,0.14698
1,2055,0.92076,0.14698,0.14698
1,2065,0.92076,0.14698,0.14698
1,2075,0.92076,0.14698,0.14698
1,2085,0.92076,0.14698,0.14698
1,2095,0.92076,0.14698,0.14698
1,2105,0.92076,0.14698,0.14698
1,2115,0.92076,0.14698,0.14698
1,2125,0.92076,0.14698,0.14698
1,2135,0.92076,0.14698,0.14698
1,2145,0.92076,0.14698,0.14698
1,2155,0.92076,0.14698,0.14698
1,2165,0.92076,0.14698,0.14698
1,2175,0.92076,0.14698,0.14698
1,2185,0.92076,0.14698,0.14698
1,2195,0.92076,0.14698,0.14698
1,2205,0.92076,0.14698,0.14698
1,2215,0.92076,0.14698,0.14698
1,2225,0.92076,0.14698,0.14698
1,2235,0.92076,0.14698,0.14698
1,2245,0.92076,0.14698,0.14698
1,2255,0.92076,0.14698,0.14698
1,2265,0.92076,0.14698,0.14698
1,2275,0.92076,0.14698,0.14698
1,2285,0.92076,0.14698,0.14698
1,2295,0.92076,0.14698,0.14698
1,2305,0.92076,0.14698,0.14698
1,2315,0.92076,0.14698,0.14698
1,2325,0.92076,0.14698,0.14698
1,2335,0.92076,0.14698,0.14698
1,2345,0.92076,0.14698,0.14698
1,2355,0.92076,0.14698,0.14698
1,2365,0.92076,0.14698,0.14698
1,2375,0.92076,0.14698,0.14698
1,2385,0.92076,0.14698,0.14698
1,2395,0.92076,0.14698,0.14698
1,2405,0.92076,0.14698,0.14698
1,2415,0.92076,0.14698,0.14698
1,2425,0.92076,0.14698,0.14698
1,2435,0.92076,0.14698,0.14698
1,2445,0.92076,0.14698,0.14698
1,2455,0.92076,0.14698,0.14698
1,2465,0.92076,0.14698,0.14698
1,2475,0.92076,0.14698,0.14698
1,2485,0.92076,0.14698,0.14698
1,2495,0.92076,0.14698,0.14698
1,2505,0.92076,0.14698,0.14698
1,2515,0.92076,0.14698,0.14698
1,2525,0.92076,0.14698,0.14698
1,2535,0.92076,0.14698,0.14698
1,2545,0.92076,0.14698,0.14698
1,2555,0.92076,0.14698,0.14698
1,2565,0.92076,0.14698,0.14698
1,2575,0.92076,0.14698,0.14698
1,2585,0.92076,0.14698,0.14698
1,2595,0.92076,0.14698,0.14698
1,2605,0.92076,0.14698,0.14698
1,2615,0.92076,0.14698,0.14698
1,2625,0.92076,0.14698,0.14698
1,2635,0.92076,0.14698,0.14698
1,2645,0.92076,0.14698,0.14698
1,2655,0.92076,0.14698,0.14698
1,2665,0.92076,0.14698,0.14698
1,2675,0.92076,0.14698,0.14698
1,2685,0.92076,0.14698,0.14698
1,2695,0.92076,0.14698,0.14698
1,2705,0.92076,0.14698,0.14698
1,2715,0.92076,0.14698,0.14698
1,2725,0.92076,0.14698,0.14698
1,2735,0.92076,0.14698,0.14698
1,2745,0.92076,0.14698,0.14698
1,2755,0.92076,0.14698,0.14698
1,2765,0.92076,0.14698,0.14698
1.5,2775,0.89884,0.20674,0.20674
1.5,2785,0.89884,0.20674,0.20674
1.5,2795,0.89884,0.20674,0.20674
1.5,2805,0.89884,0.20674,0.20674
1.5,2815,0.89884,0.20674,0.20674
1.5,2825,0.89884,0.20674,0.20674
1.5,2835,0.89884,0.20674,0.20674
1.5,2845,0.89884,0.20674,0.20674
1.5,2855,0.89884,0.20674,0.20674
1.5,2865,0.89884,0.20674,0.20674
1.5,2875,0.89884,0.20674,0.20674
1.5,2885,0.89884,0.20674,0.20674
1.5,2895,0.89884,0.20674,0.20674
1.5,2905,0.89884,0.20674,0.20674
1.5,2915,0.89884,0.20674,0.20674
1.5,2925,0.89884,0.20674,0.20674
1.5,2935,0.89884,0.20674,0.20674
1.5,2945,0.89884,0.20674,0.20674
1.5,2955,0.89884,0.20674,0.20674
1.5,2965,0.89884,0.20674,0.20674
1.5,2975,0.89884,0.20674,0.20674
1.5,2985,0.89884,0.20674,0.20674
1.5,2995,0.89884,0.20674,0.20674
1.5,3005,0.89884,0.20674,0.20674
1.5,3015,0.89884,0.20674,0.20674
1.5,3025,0.89884,0.20674,0.20674
1.5,3035,0.89884,0.20674,0.20674
1.5,3045,0.89884,0.20674,0.20674
1.5,3055,0.89884,0.20674,0.20674
1.5,3065,0.89884,0.20674,0.20674
1.5,3075,0.89884,0.20674,0.20674
1.5,3085,0.89884,0.20674,0.20674
1.5,3095,0.89884,0.20674,0.20674
1.5,3105,0.89884,0.20674,0.20674
1.5,3115,0.89884,0.20674,0.20674
1.5,3125,0.89884,0.20674,0.20674
1.5,3135,0.89884,0.20674,0.20674
1.5,3145,0.89884,0.20674,0.20674
1.5,3155,0.89884,0.20674,0.20674
1.5,3165,0.89884,0.20674,0.20674
1.5,3175,0.89884,0.20674,0.20674
1.5,3185,0.89884,0.20674,0.20674
1.5,3195,0.89884,0.20674,0.20674
1.5,3205,0.89884,0.20674,0.20674
1.5,3215,0.89884,0.20674,0.20674
1.5,3225,0.89884,0.20674,0.20674
1.5,3235,0.89884,0.20674,0.20674
1.5,3245,0.89884,0.20674,0.20674
1.5,3255,0.89884,0.20674,0.20674
1.5,3265,0.89884,0.20674,0.20674
1.5,3275,0.89884,0.20674,0.20674
1.5,3285,0.89884,0.20674,0.20674
1.5,3295,0.89884,0.20674,0.20674
1.5,3305,0.89884,0.20674,0.20674
1.5,3315,0.89884,0.20674,0.20674
1.5,3325,0.89884,0.20674,0.20674
