range,tpr,tnr
2695,0.14698,0.14698
2705,0.14698,0.14698
2715,0.14698,0.14698
2725,0.14698,0.14698
2735,0.14698,0.14698
2745,0.14698,0.14698
2755,0.14698,0.14698
2765,0.14698,0.14698
2775,0.20674,0.20674
2785,0.20674,0.20674
2795,0.20674,0.20674
2805,0.20674,0.20674
2815,0.20674,0.20674
2825,0.20674,0.20674
2835,0.20674,0.20674
2845,0.20674,0.20674
2855,0.20674,0.20674
2865,0.20674,0.20674
2875,0.20674,0.20674
2885,0.20674,0.20674
2895,0.20674,0.20674
2905,0.20674,0.20674
2915,0.20674,0.20674
2925,0.20674,0.20674
2935,0.20674,0.20674
2945,0.20674,0.20674
2955,0.20674,0.20674
2965,0.20674,0.20674
2975,0.20674,0.20674
2985,0.20674,0.20674
2995,0.20674,0.20674
3005,0.20674,0.20674
3015,0.20674,0.20674
3025,0.20674,0.20674
3035,0.20674,0.20674
3045,0.20674,0.20674
3055,0.20674,0.20674
3065,0.20674,0.20674
3075,0.20674,0.20674
3085,0.20674,0.20674
3095,0.20674,0.20674
3105,0.20674,0.20674
3115,0.20674,0.20674
3125,0.20674,0.20674
3135,0.20674,0.20674
3145,0.20674,0.20674
3155,0.20674,0.20674
3165,0.20674,0.20674
3175,0.20674,0.20674
3185,0.20674,0.20674
3195,0.20674,0.20674
3205,0.20674,0.20674
3215,0.20674,0.20674
3225,0.20674,0.20674
3235,0.20674,0.20674
3245,0.20674,0.20674
3255,0.20674,0.20674
3265,0.20674,0.20674
3275,0.20674,0.20674
3285,0.20674,0.20674
3295,0.20674,0.20674
3305,0.20674,0.20674
3315,0.20674,0.20674
3325,0.20674,0.20674
3335,0.20674,0.20674
3345,0.20674,0.20674
3355,0.20674,0.20674
3365,0.20674,0.20674
3375,0.20674,0.20674
3385,0.20674,0.20674
3395,0.20674,0.20674
3405,0.20674,0.20674
3415,0.20674,0.20674
3425,0.20674,0.20674
3435,0.20674,0.20674
3445,0.20674,0.20674
3455,0.20674,0.20674
3465,0.20674,0.20674
3475,0.20674,0.20674
3485,0.20674,0.20674
3495,0.20674,0.20674
3505,0.20674,0.20674
3515,0.20674,0.20674
3525,0.20674,0.20674
3535,0.20674,0.20674
3545,0.20674,0.20674
3555,0.20674,0.20674
3565,0.20674,0.20674
3575,0.20674,0.20674
3585,0.20674,0.20674
3595,0.20674,0.20674
3605,0.20674,0.20674
3615,0.20674,0.20674
3625,0.20674,0.20674
3635,0.20674,0.20674
3645,0.20674,0.20674
3655,0.20674,0.20674
3665,0.20674,0.20674
3675,0.20674,0.20674
3685,0.20674,0.20674
3695,0.20674,0.20674
3705,0.12347,0.12347
3715,0.12347,0.12347
3725,0.12347,0.12347
3735,0.12347,0.12347
3745,0.12347,0.12347
3755,0.12347,0.12347
3765,0.12347,0.12347
3775,0.12347,0.12347
3785,0.12347,0.12347
3795,0.12347,0.12347
3805,0.12347,0.12347
3815,0.12347,0.12347
3825,0.12347,0.12347
3835,0.12347,0.12347
3845,0.12347,0.12347
3855,0.12347,0.12347
3865,0.12347,0.12347
3875,0.12347,0.12347
3885,0.12347,0.12347
3895,0.12347,0.12347
3905,0.12347,0.12347
3915,0.12347,0.12347
3925,0.12347,0.12347
3935,0.12347,0.12347
3945,0.12347,0.12347
3955,0.12347,0.12347
3965,0.12347,0.12347
3975,0.12347,0.12347
3985,0.12347,0.12347
3995,0.12347,0.12347
4005,0.12347,0.12347
4015,0.12347,0.12347
4025,0.12347,0.12347
4035,0.12347,0.12347
4045,0.12347,0.12347
4055,0.12347,0.12347
4065,0.12347,0.12347
4075,0.12347,0.12347
4085,0.12347,0.12347
4095,0.12347,0.12347
4105,0.12347,0.12347
4115,0.12347,0.12347
4125,0.12347,0.12347
4135,0.12347,0.12347
4145,0.12347,0.12347
4155,0.12347,0.12347
4165,0.12347,0.12347
4175,0.12347,0.12347
4185,0.12347,0.12347
4195,0.12347,0.12347
4205,0.12347,0.12347
4215,0.12347,0.12347
4225,0.12347,0.12347
4235,0.12347,0.12347
4245,0.12347,0.12347
4255,0.12347,0.12347
4265,0.12347,0.12347
4275,0.12347,0.12347
4285,0.12347,0.12347
4295,0.12347,0.12347
4305,0.12347,0.12347
4315,0.12347,0.12347
4325,0.12347,0.12347
4335,0.12347,0.12347
4345,0.12347,0.12347
4355,0.12347,0.12347
4365,0.12347,0.12347
4375,0.12347,0.12347
4385,0.12347,0.12347
4395,0.12347,0.12347
4405,0.12347,0.12347
4415,0.12347,0.12347
4425,0.12347,0.12347
4435,0.12347,0.12347
4445,0.12347,0.12347
4455,0.12347,0.12347
4465,0.12347,0.12347
4475,0.12347,0.12347
4485,0.12347,0.12347
4495,0.12347,0.12347
4505,0.12347,0.12347
4515,0.12347,0.12347
4525,0.12347,0.12347
4535,0.12347,0.12347
4545,0.12347,0.12347
4555,0.12347,0.12347
4565,0.12347,0.12347
4575,0.12347,0.12347
4585,0.12347,0.12347
4595,0.12347,0.12347
4605,0.12347,0.12347
4615,0.12347,0.12347
4625,0.07709,0.07709
4635,0.07709,0.07709
4645,0.07709,0.07709
4655,0.07709,0.07709
4665,0.07709,0.07709
4675,0.07709,0.07709
4685,0.07709,0.07709
