range,tpr,tnr
0,0.8,0.6
10,0.8,0.6
20,0.9,0.8
30,0.95,0.95
40,0.93,0.99
50,0.9,0.95
60,0.5,0.9
70,0.25,0.8
80,0.05,0.7
90,0.01,0.6
100,0.01,0.4
110,0,0.2
120,0,0.1
